encuestadora,fecha,escenario,primera_vuelta,voto_sv,pct,encuesta_id
Atlas Intel,2026-01-09,cepeda_vs_paloma,Abelardo de la Espriella,Iván Cepeda,5.5,574bebb8-d5bc-4a9a-b0fc-5a5471c2a8d5
Atlas Intel,2026-01-09,cepeda_vs_paloma,Abelardo de la Espriella,No sé,4.3,574bebb8-d5bc-4a9a-b0fc-5a5471c2a8d5
Atlas Intel,2026-01-09,cepeda_vs_paloma,Abelardo de la Espriella,Paloma Valencia,71.7,574bebb8-d5bc-4a9a-b0fc-5a5471c2a8d5
Atlas Intel,2026-01-09,cepeda_vs_paloma,Abelardo de la Espriella,Voto en blanco,18.5,574bebb8-d5bc-4a9a-b0fc-5a5471c2a8d5
Atlas Intel,2026-01-09,cepeda_vs_paloma,Aníbal Gaviria,Iván Cepeda,31.6,574bebb8-d5bc-4a9a-b0fc-5a5471c2a8d5
Atlas Intel,2026-01-09,cepeda_vs_paloma,Aníbal Gaviria,No sé,36.2,574bebb8-d5bc-4a9a-b0fc-5a5471c2a8d5
Atlas Intel,2026-01-09,cepeda_vs_paloma,Aníbal Gaviria,Paloma Valencia,27.9,574bebb8-d5bc-4a9a-b0fc-5a5471c2a8d5
Atlas Intel,2026-01-09,cepeda_vs_paloma,Aníbal Gaviria,Voto en blanco,4.3,574bebb8-d5bc-4a9a-b0fc-5a5471c2a8d5
Atlas Intel,2026-01-09,cepeda_vs_paloma,Claudia López,Iván Cepeda,23.5,574bebb8-d5bc-4a9a-b0fc-5a5471c2a8d5
Atlas Intel,2026-01-09,cepeda_vs_paloma,Claudia López,No sé,5.5,574bebb8-d5bc-4a9a-b0fc-5a5471c2a8d5
Atlas Intel,2026-01-09,cepeda_vs_paloma,Claudia López,Paloma Valencia,56.3,574bebb8-d5bc-4a9a-b0fc-5a5471c2a8d5
Atlas Intel,2026-01-09,cepeda_vs_paloma,Claudia López,Voto en blanco,14.7,574bebb8-d5bc-4a9a-b0fc-5a5471c2a8d5
Atlas Intel,2026-01-09,cepeda_vs_paloma,Daniel Palacios,Paloma Valencia,100.0,574bebb8-d5bc-4a9a-b0fc-5a5471c2a8d5
Atlas Intel,2026-01-09,cepeda_vs_paloma,Daniel Quintero,Iván Cepeda,47.7,574bebb8-d5bc-4a9a-b0fc-5a5471c2a8d5
Atlas Intel,2026-01-09,cepeda_vs_paloma,Daniel Quintero,No sé,43.4,574bebb8-d5bc-4a9a-b0fc-5a5471c2a8d5
Atlas Intel,2026-01-09,cepeda_vs_paloma,Daniel Quintero,Voto en blanco,8.9,574bebb8-d5bc-4a9a-b0fc-5a5471c2a8d5
Atlas Intel,2026-01-09,cepeda_vs_paloma,David Luna,Iván Cepeda,41.6,574bebb8-d5bc-4a9a-b0fc-5a5471c2a8d5
Atlas Intel,2026-01-09,cepeda_vs_paloma,David Luna,No sé,5.7,574bebb8-d5bc-4a9a-b0fc-5a5471c2a8d5
Atlas Intel,2026-01-09,cepeda_vs_paloma,David Luna,Paloma Valencia,52.6,574bebb8-d5bc-4a9a-b0fc-5a5471c2a8d5
Atlas Intel,2026-01-09,cepeda_vs_paloma,David Luna,Voto en blanco,0.1,574bebb8-d5bc-4a9a-b0fc-5a5471c2a8d5
Atlas Intel,2026-01-09,cepeda_vs_paloma,Enrique Peñalosa,Iván Cepeda,34.6,574bebb8-d5bc-4a9a-b0fc-5a5471c2a8d5
Atlas Intel,2026-01-09,cepeda_vs_paloma,Enrique Peñalosa,No sé,35.2,574bebb8-d5bc-4a9a-b0fc-5a5471c2a8d5
Atlas Intel,2026-01-09,cepeda_vs_paloma,Enrique Peñalosa,Paloma Valencia,29.0,574bebb8-d5bc-4a9a-b0fc-5a5471c2a8d5
Atlas Intel,2026-01-09,cepeda_vs_paloma,Enrique Peñalosa,Voto en blanco,1.2,574bebb8-d5bc-4a9a-b0fc-5a5471c2a8d5
Atlas Intel,2026-01-09,cepeda_vs_paloma,Iván Cepeda,Iván Cepeda,98.6,574bebb8-d5bc-4a9a-b0fc-5a5471c2a8d5
Atlas Intel,2026-01-09,cepeda_vs_paloma,Iván Cepeda,No sé,0.0,574bebb8-d5bc-4a9a-b0fc-5a5471c2a8d5
Atlas Intel,2026-01-09,cepeda_vs_paloma,Iván Cepeda,Paloma Valencia,0.4,574bebb8-d5bc-4a9a-b0fc-5a5471c2a8d5
Atlas Intel,2026-01-09,cepeda_vs_paloma,Iván Cepeda,Voto en blanco,1.0,574bebb8-d5bc-4a9a-b0fc-5a5471c2a8d5
Atlas Intel,2026-01-09,cepeda_vs_paloma,Juan Carlos Pinzón,Iván Cepeda,8.8,574bebb8-d5bc-4a9a-b0fc-5a5471c2a8d5
Atlas Intel,2026-01-09,cepeda_vs_paloma,Juan Carlos Pinzón,Paloma Valencia,73.1,574bebb8-d5bc-4a9a-b0fc-5a5471c2a8d5
Atlas Intel,2026-01-09,cepeda_vs_paloma,Juan Carlos Pinzón,Voto en blanco,18.1,574bebb8-d5bc-4a9a-b0fc-5a5471c2a8d5
Atlas Intel,2026-01-09,cepeda_vs_paloma,Juan Daniel Oviedo,Iván Cepeda,19.0,574bebb8-d5bc-4a9a-b0fc-5a5471c2a8d5
Atlas Intel,2026-01-09,cepeda_vs_paloma,Juan Daniel Oviedo,No sé,12.3,574bebb8-d5bc-4a9a-b0fc-5a5471c2a8d5
Atlas Intel,2026-01-09,cepeda_vs_paloma,Juan Daniel Oviedo,Paloma Valencia,22.5,574bebb8-d5bc-4a9a-b0fc-5a5471c2a8d5
Atlas Intel,2026-01-09,cepeda_vs_paloma,Juan Daniel Oviedo,Voto en blanco,46.1,574bebb8-d5bc-4a9a-b0fc-5a5471c2a8d5
Atlas Intel,2026-01-09,cepeda_vs_paloma,Juan Manuel Galán,Iván Cepeda,5.4,574bebb8-d5bc-4a9a-b0fc-5a5471c2a8d5
Atlas Intel,2026-01-09,cepeda_vs_paloma,Juan Manuel Galán,No sé,0.0,574bebb8-d5bc-4a9a-b0fc-5a5471c2a8d5
Atlas Intel,2026-01-09,cepeda_vs_paloma,Juan Manuel Galán,Paloma Valencia,52.7,574bebb8-d5bc-4a9a-b0fc-5a5471c2a8d5
Atlas Intel,2026-01-09,cepeda_vs_paloma,Juan Manuel Galán,Voto en blanco,41.9,574bebb8-d5bc-4a9a-b0fc-5a5471c2a8d5
Atlas Intel,2026-01-09,cepeda_vs_paloma,Mauricio Cárdenas,Iván Cepeda,0.9,574bebb8-d5bc-4a9a-b0fc-5a5471c2a8d5
Atlas Intel,2026-01-09,cepeda_vs_paloma,Mauricio Cárdenas,Paloma Valencia,80.9,574bebb8-d5bc-4a9a-b0fc-5a5471c2a8d5
Atlas Intel,2026-01-09,cepeda_vs_paloma,Mauricio Cárdenas,Voto en blanco,18.2,574bebb8-d5bc-4a9a-b0fc-5a5471c2a8d5
Atlas Intel,2026-01-09,cepeda_vs_paloma,No sé,Iván Cepeda,4.4,574bebb8-d5bc-4a9a-b0fc-5a5471c2a8d5
Atlas Intel,2026-01-09,cepeda_vs_paloma,No sé,No sé,74.3,574bebb8-d5bc-4a9a-b0fc-5a5471c2a8d5
